What is the name of the hospital?,Local Government,Contact Person,Contact person Phone Number,Geolocation,Type of Hospital/Specialization,Department Count,Number of building at the hospital,Safety Concerns,"If Yes, please describe",Energy/Facility Management team Availability,Which Power sources are available?,Is the Phcn line connected or disconnected?,What Band if connected ?,How many Transformer (s),Do you have a central generator that serves as the main generator?,What is the capacity?,Can it power the entire facility?,How many generators do you own?,Power analyzer metering point (Phcn /IPP/ Gen source),Number of power analyzers needed,Details and breakdown of power analyzer installation,Final Remarks
Mainland General Hospital,Lagos Mainland,Engr. Ola Sadiq,8037149613,"6.454866, 3.392392",Infectious disease,18,21,Yes,"exposed wires, Fire Risk",Yes,"Grid (PHCN) , Generator , Solar",TRUE,Band B,1,TRUE,350,TRUE,4,Change over panel,1,To install power analyzer at the change over between gen and PHCN,The hospital has a Ca Covid centre with 24 containers powered by the hospital
Massey Children Hospital,Lagos Island,Mr Oyewole babatunde,8029549127,"6.458368, 3.273726",Paediatrics,16,3,No,,Yes,"Mini-Grid (IPP) , Generator , Solar",,,,TRUE,250,TRUE,3,Change over point,1,To be plugged at the change over point,
MCC Amuwo Odofin,Amuwo-Odofin,Engr. Hamzat,8023825711,"6.463150, 3.585299",Maternal and Child Hospital,22,6,No,,Yes,"Grid (PHCN) , Generator",TRUE,Band C,1,TRUE,400,TRUE,2,phcn & gen.,1,1,Completed
MCC Eti Osa,Eti-Osa,Engr Seun Awolusi,7031339107,"6.504376, 3.359446","Obstetrics and Gynecology, Paediatrics",23,6,No,,Yes,"Grid (PHCN) , Generator",TRUE,Band C,1,TRUE,400,TRUE,2,Changeover,1,One Power Analyser is fine to be plugged at Changeover point.,One Power Analyser. 400kVA Solar System is
MCC Gbaja,Surulere,Engr Alugo,8025592402,"6.508743394254886, 3.357481189011213",Mother and child,11,8,No,,Yes,"Grid (PHCN) , Generator , Solar",TRUE,Band A,1,TRUE,350,TRUE,2,Change over,1,To be plugged at the Automatic change over,
Mushin General Hospital,Mushin,Engr. Alabi,7034744636,"6.531413, 3.346241",Multispecialty with Maternal and Child Centre,22,6,Yes,"exposed wires, Noise",No,"Grid (PHCN) , Generator",TRUE,Band B,1,TRUE,40,FALSE,4,Phcn,1,It would be plugged to the Panel attached to the generator house,
Onikan Health Centre,Lagos Island,Engr Bankole,8132817557,"6.444945, 3.405529","Secondary Care Facility/O&G, Pediatrics, Family Medicine/General Surgery",23,11,Yes,"exposed wires, Noise, Fumes",No,"Mini-Grid (IPP) , Generator , Solar",,,1,TRUE,250,TRUE,2,Change over,1,To be plugged in at the change over load point,
Orchid Road General Hospital,Eti-Osa,Adesanya Shamsudeen,8052066383,"6.435230, 3.543045",Secondary health facility,16,1,No,,No,"Generator , Solar",,,1,TRUE,80,FALSE,2,One Power Analyser,1,To be at the load cable for the building which already included Gen or Solar Source,We might need to open the breaker panel to take the measurements or put the power analyser at the load cable.
Orile Agege General Hospital,Agege,Engr Asoroda ojo,8027920931,"6.635428, 3.303908",General Hospital/house officer's and resident rotation,32,14,No,,Yes,"Grid (PHCN) , Generator",TRUE,Band A,2,TRUE,500,TRUE,2,Change over point,1,To be plugged at the change over point,The hospital has a 33kV transformer stepped down to 11kV and the second transformer stepped down to 415v
Randle General Hospital,Ifako-Ijaiye,Engr Alugo,8025592402,"6.508251, 3.357156",General Hospital,25,16,Yes,"exposed wires, Fire Risk",No,"Grid (PHCN) , Generator",TRUE,Band A,1,TRUE,350,TRUE,2,Change over,1,To be plugged at change over point,
Shomolu General Hospital,Somolu,Engr Hassan,8035767242,"6.536563, 3.371905",General hospital,30,12,Yes,"Noise, Fumes, Fire Risk",Yes,"Grid (PHCN) , Generator",TRUE,Band A,1,TRUE,250,TRUE,5,Switch panel,1,To plug power analyzer at the switch panel,
