,LGA,Tier 0,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
39,Akure North,18%,73%,0%,9%,0%,0%
40,Akure South,8%,92%,0%,0%,0%,0%
41,Akwanga,12%,50%,38%,0%,0%,0%
42,Albasu,0%,86%,0%,14%,0%,0%
43,Aleiro,12%,88%,0%,0%,0%,0%
44,Alimosho,24%,33%,9%,33%,0%,0%
45,Alkaleri,55%,27%,9%,9%,0%,0%
46,Amuwo-Odofin,15%,62%,0%,24%,0%,0%
47,Anambra East,0%,21%,0%,79%,0%,0%
48,Anambra West,0%,100%,0%,0%,0%,0%
49,Anaocha,14%,14%,0%,71%,0%,0%
50,Andoni,100%,0%,0%,0%,0%,0%
51,Aninri,8%,25%,0%,67%,0%,0%
52,Aniocha North,0%,60%,0%,40%,0%,0%
53,Aniocha South,0%,80%,0%,20%,0%,0%
54,Ankpa,0%,88%,0%,12%,0%,0%
55,Apa,55%,18%,0%,27%,0%,0%
56,Apapa,41%,38%,6%,16%,0%,0%
57,Ardo Kola,100%,0%,0%,0%,0%,0%
58,Arewa,100%,0%,0%,0%,0%,0%
59,Argungu,12%,75%,0%,12%,0%,0%
60,Arochukwu,100%,0%,0%,0%,0%,0%
61,Asa,0%,78%,0%,22%,0%,0%
62,Asari Toru,92%,8%,0%,0%,0%,0%
63,Askira/Uba,0%,67%,17%,17%,0%,0%
64,Atakunmosa East,30%,50%,10%,10%,0%,0%
65,Atakunmosa West,10%,70%,0%,20%,0%,0%
66,Atiba,0%,100%,0%,0%,0%,0%
67,Atisbo,90%,10%,0%,0%,0%,0%
68,Augie,75%,25%,0%,0%,0%,0%
69,Auyo,11%,44%,22%,22%,0%,0%
70,Awe,75%,12%,0%,12%,0%,0%
71,Awgu,42%,33%,0%,25%,0%,0%
72,Awka North,0%,100%,0%,0%,0%,0%
73,Awka South,6%,50%,0%,44%,0%,0%
74,Ayamelum,0%,100%,0%,0%,0%,0%
75,Babura,50%,38%,12%,0%,0%,0%
76,Badagry,16%,72%,6%,6%,0%,0%
77,Bade,14%,71%,0%,14%,0%,0%
78,Bagudo,0%,38%,0%,62%,0%,0%
79,Bagwai,0%,100%,0%,0%,0%,0%
80,Bakassi,100%,0%,0%,0%,0%,0%
81,Bakori,0%,100%,0%,0%,0%,0%
82,Bakuka,65%,29%,6%,0%,0%,0%
83,Balanga,64%,27%,0%,9%,0%,0%
84,Bali,100%,0%,0%,0%,0%,0%
85,Bama,50%,50%,0%,0%,0%,0%
86,Barkin Ladi,11%,89%,0%,0%,0%,0%
87,Bassa,47%,35%,6%,12%,0%,0%
88,Batagarawa,19%,75%,6%,0%,0%,0%
89,Bauchi,17%,75%,0%,8%,0%,0%
90,Baure,31%,56%,12%,0%,0%,0%
91,Bayo,0%,29%,0%,71%,0%,0%
92,Bebeji,0%,100%,0%,0%,0%,0%
93,Bekwarra,75%,25%,0%,0%,0%,0%
94,Bende,91%,9%,0%,0%,0%,0%
95,Biase,100%,0%,0%,0%,0%,0%
96,Bichi,0%,100%,0%,0%,0%,0%
97,Bida,14%,79%,0%,7%,0%,0%
98,Billiri,9%,55%,18%,18%,0%,0%
99,Bindawa,38%,25%,38%,0%,0%,0%
100,Binji,57%,14%,7%,21%,0%,0%
101,Birnin Kebbi,0%,75%,0%,25%,0%,0%
102,Birnin Kudu,38%,38%,12%,12%,0%,0%
103,Birnin Magaji/Kiyaw,60%,40%,0%,0%,0%,0%
104,Birniwa,75%,25%,0%,0%,0%,0%
105,Biu,8%,38%,0%,54%,0%,0%
106,Bodinga,64%,14%,0%,21%,0%,0%
107,Bogoro,20%,70%,0%,10%,0%,0%
108,Boki,100%,0%,0%,0%,0%,0%
109,Bokkos,33%,33%,33%,0%,0%,0%
110,Boluwaduro,75%,25%,0%,0%,0%,0%
111,Bomadi,40%,40%,10%,10%,0%,0%
112,Bonny,0%,7%,7%,87%,0%,0%
113,Borgu,91%,9%,0%,0%,0%,0%
114,Boripe,25%,50%,0%,25%,0%,0%
115,Bosso,91%,9%,0%,0%,0%,0%
116,Brass,70%,0%,10%,20%,0%,0%
117,Buji,75%,25%,0%,0%,0%,0%
118,Bukkuyum,38%,43%,10%,10%,0%,0%
119,Bungudu,50%,50%,0%,0%,0%,0%
120,Bunkure,14%,57%,0%,29%,0%,0%
121,Bunza,0%,100%,0%,0%,0%,0%
122,Bursari,43%,57%,0%,0%,0%,0%
123,Buruku,55%,45%,0%,0%,0%,0%
124,Burutu,100%,0%,0%,0%,0%,0%
125,Bwari,16%,44%,0%,40%,0%,0%
126,Calabar Municipal,31%,31%,15%,23%,0%,0%
127,Calabar South,31%,31%,8%,31%,0%,0%
128,Chanchaga,0%,50%,0%,50%,0%,0%
129,Charanchi,0%,100%,0%,0%,0%,0%
130,Chibok,43%,57%,0%,0%,0%,0%
131,Chikun,10%,80%,10%,0%,0%,0%
132,Dala,29%,29%,0%,43%,0%,0%
133,Damaturu,71%,0%,0%,29%,0%,0%
134,Damban,90%,10%,0%,0%,0%,0%
135,Dambatta,0%,86%,0%,14%,0%,0%
136,Damboa,100%,0%,0%,0%,0%,0%
137,Dan Musa,0%,75%,12%,12%,0%,0%
138,Dandi,0%,89%,0%,11%,0%,0%
139,Dange Shuni,57%,43%,0%,0%,0%,0%
140,Danja,19%,81%,0%,0%,0%,0%
141,Danko wasagu,0%,100%,0%,0%,0%,0%
142,Darazo,10%,80%,0%,10%,0%,0%
143,Dass,10%,70%,10%,10%,0%,0%
144,Daura,50%,12%,25%,12%,0%,0%
145,Dawakin Kudu,43%,43%,0%,14%,0%,0%
146,Dawakin Tofa,0%,100%,0%,0%,0%,0%
147,Degema,100%,0%,0%,0%,0%,0%
148,Dekina,11%,89%,0%,0%,0%,0%
149,Demsa,0%,100%,0%,0%,0%,0%
150,Dikwa,100%,0%,0%,0%,0%,0%
151,Doguwa,0%,100%,0%,0%,0%,0%
152,Doma,10%,90%,0%,0%,0%,0%
153,Donga,100%,0%,0%,0%,0%,0%
154,Dukku,0%,50%,25%,25%,0%,0%
155,Dunukofia,0%,56%,6%,38%,0%,0%
156,Dutse,38%,50%,0%,12%,0%,0%
157,Dutsi,19%,69%,0%,12%,0%,0%
158,Dutsin Ma,100%,0%,0%,0%,0%,0%
159,Eastern Obolo,11%,56%,11%,22%,0%,0%
160,Ebonyi,0%,50%,0%,50%,0%,0%
161,Edati,30%,10%,0%,60%,0%,0%
162,Edda,0%,67%,0%,33%,0%,0%
163,Ede North,91%,9%,0%,0%,0%,0%
164,Ede South,60%,30%,0%,10%,0%,0%
165,Efon,33%,50%,0%,17%,0%,0%
166,Egbeda,45%,55%,0%,0%,0%,0%
167,Egbedore,88%,0%,0%,12%,0%,0%
168,Egor,0%,100%,0%,0%,0%,0%
169,Ehime Mbano,0%,60%,0%,40%,0%,0%
170,Ejigbo,0%,75%,12%,12%,0%,0%
171,Ekeremor,70%,30%,0%,0%,0%,0%
172,Eket,44%,22%,22%,11%,0%,0%
173,Ekiti,0%,30%,10%,60%,0%,0%
174,Ekiti East,9%,73%,9%,9%,0%,0%
175,Ekiti South-West,55%,36%,0%,9%,0%,0%
176,Ekiti West,17%,58%,0%,25%,0%,0%
177,Ekwusigo,0%,100%,0%,0%,0%,0%
178,Eleme,21%,21%,0%,57%,0%,0%
179,Emohua,50%,0%,17%,33%,0%,0%
180,Emure,55%,36%,0%,9%,0%,0%
181,Enugu East,0%,54%,0%,46%,0%,0%
182,Enugu North,23%,54%,0%,23%,0%,0%
183,Enugu South,12%,31%,0%,56%,0%,0%
184,Epe,58%,27%,0%,15%,0%,0%
185,Esan Central,0%,91%,0%,9%,0%,0%
186,Esan North-East,0%,92%,0%,8%,0%,0%
187,Esan South-East,0%,100%,0%,0%,0%,0%
188,Esan West,0%,70%,10%,20%,0%,0%
189,Ese Odo,0%,100%,0%,0%,0%,0%
190,Esit Eket,22%,33%,0%,44%,0%,0%
191,Essien Udim,0%,89%,0%,11%,0%,0%
192,Etche,8%,92%,0%,0%,0%,0%
193,Ethiope East,9%,91%,0%,0%,0%,0%
194,Ethiope West,10%,90%,0%,0%,0%,0%
195,Eti-Osa,18%,18%,0%,64%,0%,0%
196,Etim Ekpo,10%,70%,0%,20%,0%,0%
197,Etinan,33%,56%,0%,11%,0%,0%
198,Etsako Central,0%,100%,0%,0%,0%,0%
199,Etsako East,0%,100%,0%,0%,0%,0%
200,Etsako West,0%,90%,0%,10%,0%,0%
201,Etung,73%,0%,0%,27%,0%,0%
202,Ewekoro,0%,100%,0%,0%,0%,0%
203,Ezeagu,0%,33%,0%,67%,0%,0%
204,Ezinihitte,0%,50%,10%,40%,0%,0%
205,Ezza North,64%,9%,0%,27%,0%,0%
206,Ezza South,54%,31%,8%,8%,0%,0%
207,Fagge,29%,43%,0%,29%,0%,0%
208,Fakai,100%,0%,0%,0%,0%,0%
209,Fika,14%,86%,0%,0%,0%,0%
210,Fufure,0%,57%,0%,43%,0%,0%
211,Funakaye,55%,18%,0%,27%,0%,0%
212,Fune,0%,100%,0%,0%,0%,0%
213,Funtua,31%,44%,0%,25%,0%,0%
214,Gabasawa,0%,86%,0%,14%,0%,0%
215,Gada,43%,29%,0%,29%,0%,0%
216,Gagarawa,62%,12%,25%,0%,0%,0%
217,Gamawa,0%,64%,0%,36%,0%,0%
218,Ganjuwa,0%,100%,0%,0%,0%,0%
219,Ganye,0%,86%,14%,0%,0%,0%
220,Garki,62%,38%,0%,0%,0%,0%
221,Garko,0%,71%,29%,0%,0%,0%
222,Garun Mallam,0%,100%,0%,0%,0%,0%
223,Gashaka,100%,0%,0%,0%,0%,0%
224,Gassol,75%,25%,0%,0%,0%,0%
225,Gaya,12%,88%,0%,0%,0%,0%
226,Gbako,11%,78%,0%,11%,0%,0%
227,Gboko,9%,91%,0%,0%,0%,0%
228,Gbonyin,64%,18%,0%,18%,0%,0%
229,Geidam,0%,100%,0%,0%,0%,0%
230,Gezawa,29%,71%,0%,0%,0%,0%
231,Giade,80%,20%,0%,0%,0%,0%
232,Girei,0%,100%,0%,0%,0%,0%
233,Giwa,0%,56%,0%,44%,0%,0%
234,Gokana,100%,0%,0%,0%,0%,0%
235,Gombe,18%,64%,0%,18%,0%,0%
236,Gombi,0%,71%,0%,29%,0%,0%
237,Goronyo,100%,0%,0%,0%,0%,0%
238,Gubio,23%,77%,0%,0%,0%,0%
239,Gudu,57%,0%,0%,43%,0%,0%
240,Gujba,71%,29%,0%,0%,0%,0%
241,Gulani,43%,43%,0%,14%,0%,0%
242,Guma,0%,50%,29%,21%,0%,0%
243,Gumel,0%,62%,0%,38%,0%,0%
244,Gummi,33%,57%,10%,0%,0%,0%
245,Gurara,100%,0%,0%,0%,0%,0%
246,Guri,12%,50%,12%,25%,0%,0%
247,Gusau,21%,71%,0%,7%,0%,0%
248,Guyuk,0%,57%,43%,0%,0%,0%
249,Gwadabawa,100%,0%,0%,0%,0%,0%
250,Gwagwalada,15%,64%,6%,15%,0%,0%
251,Gwale,0%,82%,0%,18%,0%,0%
252,Gwandu,92%,8%,0%,0%,0%,0%
253,Gwaram,88%,12%,0%,0%,0%,0%
254,Gwarzo,0%,71%,0%,29%,0%,0%
255,Gwer East,45%,45%,0%,9%,0%,0%
256,Gwer West,6%,67%,6%,22%,0%,0%
257,Gwiwa,38%,25%,0%,38%,0%,0%
258,Gwoza,100%,0%,0%,0%,0%,0%
259,Hadejia,0%,62%,12%,25%,0%,0%
260,Hawul,0%,38%,0%,62%,0%,0%
261,Hong,0%,86%,0%,14%,0%,0%
262,Ibadan North,22%,67%,11%,0%,0%,0%
263,Ibadan North-East,11%,89%,0%,0%,0%,0%
264,Ibadan North-West,55%,45%,0%,0%,0%,0%
265,Ibadan South-East,60%,40%,0%,0%,0%,0%
266,Ibadan South-West,0%,80%,10%,10%,0%,0%
267,Ibaji,0%,88%,0%,12%,0%,0%
268,Ibarapa Central,89%,11%,0%,0%,0%,0%
269,Ibarapa East,0%,100%,0%,0%,0%,0%
270,Ibarapa North,9%,91%,0%,0%,0%,0%
271,Ibeju-Lekki,15%,59%,3%,24%,0%,0%
272,Ibeno,0%,78%,0%,22%,0%,0%
273,Ibesikpo Asutan,25%,67%,0%,8%,0%,0%
274,Ibi,100%,0%,0%,0%,0%,0%
275,Ibiono-Ibom,22%,78%,0%,0%,0%,0%
276,Idah,56%,22%,0%,22%,0%,0%
277,Idanre,0%,100%,0%,0%,0%,0%
278,Ideato North,0%,90%,0%,10%,0%,0%
279,Ideato South,50%,30%,0%,20%,0%,0%
280,Idemili North,0%,92%,0%,8%,0%,0%
281,Idemili South,0%,0%,0%,100%,0%,0%
282,Ido,40%,60%,0%,0%,0%,0%
283,Ido Osi,0%,82%,0%,18%,0%,0%
284,Ifako-Ijaiye,67%,21%,6%,6%,0%,0%
285,Ife Central,38%,50%,12%,0%,0%,0%
286,Ife East,62%,38%,0%,0%,0%,0%
287,Ife North,25%,75%,0%,0%,0%,0%
288,Ife South,40%,0%,0%,60%,0%,0%
289,Ifedayo,33%,67%,0%,0%,0%,0%
290,Ifedore,0%,45%,9%,45%,0%,0%
291,Ifelodun,53%,42%,0%,5%,0%,0%
292,Ifo,92%,8%,0%,0%,0%,0%
293,Igabi,18%,73%,0%,9%,0%,0%
294,Igalamela-Odolu,62%,38%,0%,0%,0%,0%
295,Igbo Etiti,0%,23%,0%,77%,0%,0%
296,Igbo Eze North,75%,8%,0%,17%,0%,0%
297,Igbo Eze South,0%,50%,0%,50%,0%,0%
298,Igueben,0%,100%,0%,0%,0%,0%
299,Ihiala,0%,8%,0%,92%,0%,0%
300,Ihitte/Uboma,11%,78%,11%,0%,0%,0%
301,Ijebu East,83%,17%,0%,0%,0%,0%
302,Ijebu North,17%,83%,0%,0%,0%,0%
303,Ijebu North East,17%,83%,0%,0%,0%,0%
304,Ijebu Ode,25%,67%,8%,0%,0%,0%
305,Ijero,58%,42%,0%,0%,0%,0%
306,Ijumu,0%,25%,0%,75%,0%,0%
307,Ika,33%,11%,0%,56%,0%,0%
308,Ika North East,0%,100%,0%,0%,0%,0%
309,Ika South,0%,100%,0%,0%,0%,0%
310,Ikara,100%,0%,0%,0%,0%,0%
311,Ikeduru,0%,38%,0%,62%,0%,0%
312,Ikeja,62%,18%,0%,21%,0%,0%
313,Ikenne,7%,93%,0%,0%,0%,0%
314,Ikere,45%,27%,0%,27%,0%,0%
315,Ikole,0%,36%,27%,36%,0%,0%
316,Ikom,100%,0%,0%,0%,0%,0%
317,Ikono,0%,56%,0%,44%,0%,0%
318,Ikorodu,21%,52%,0%,27%,0%,0%
319,Ikot Abasi (village),0%,89%,11%,0%,0%,0%
320,Ikot Ekpene,11%,44%,0%,44%,0%,0%
321,Ikpoba Okha,0%,55%,0%,45%,0%,0%
322,Ikwerre,0%,17%,8%,75%,0%,0%
323,Ikwo,70%,30%,0%,0%,0%,0%
324,Ikwuano,64%,36%,0%,0%,0%,0%
325,Ila,89%,11%,0%,0%,0%,0%
326,Ilaje,9%,91%,0%,0%,0%,0%
327,Ile-Oluji/Okeigbo,92%,8%,0%,0%,0%,0%
328,Ilejemeje,55%,9%,27%,9%,0%,0%
329,Ilesa East,25%,62%,0%,12%,0%,0%
330,Ilesa West,12%,75%,0%,12%,0%,0%
331,Illela,71%,0%,0%,29%,0%,0%
332,Ilorin East,20%,70%,0%,10%,0%,0%
333,Ilorin West,20%,80%,0%,0%,0%,0%
334,Imeko Afon,83%,17%,0%,0%,0%,0%
335,Ingaski,12%,50%,0%,38%,0%,0%
336,Ingawa,0%,100%,0%,0%,0%,0%
337,Ini,0%,33%,0%,67%,0%,0%
338,Ipokia,100%,0%,0%,0%,0%,0%
339,Irele,9%,91%,0%,0%,0%,0%
340,Irepo,100%,0%,0%,0%,0%,0%
341,Irepodun,19%,64%,3%,14%,0%,0%
342,Irepodun/Ifelodun,8%,83%,0%,8%,0%,0%
343,Irewole,100%,0%,0%,0%,0%,0%
344,Ise/Orun,55%,36%,9%,0%,0%,0%
345,Iseyin,40%,40%,10%,10%,0%,0%
346,Ishielu,10%,70%,10%,10%,0%,0%
347,Isi Uzo,15%,62%,0%,23%,0%,0%
348,Isiala Mbano,10%,40%,10%,40%,0%,0%
349,Isiala Ngwa North,15%,85%,0%,0%,0%,0%
350,Isiala Ngwa South,54%,0%,8%,38%,0%,0%
351,Isin,5%,86%,0%,9%,0%,0%
352,Isokan,67%,11%,0%,22%,0%,0%
353,Isoko North,15%,85%,0%,0%,0%,0%
354,Isoko South,25%,75%,0%,0%,0%,0%
355,Isu,0%,22%,0%,78%,0%,0%
356,Isuikwuato,67%,8%,0%,25%,0%,0%
357,Itas/Gadau,25%,75%,0%,0%,0%,0%
358,Itesiwaju,33%,33%,11%,22%,0%,0%
359,Itu,56%,33%,0%,11%,0%,0%
360,Ivo,0%,0%,40%,60%,0%,0%
361,Iwajowa,100%,0%,0%,0%,0%,0%
362,Iwo,0%,100%,0%,0%,0%,0%
363,Izzi,45%,9%,27%,18%,0%,0%
364,Jaba,100%,0%,0%,0%,0%,0%
365,Jada,25%,75%,0%,0%,0%,0%
366,Jahun,75%,12%,0%,12%,0%,0%
367,Jakusko,0%,71%,0%,29%,0%,0%
368,Jalingo,50%,38%,12%,0%,0%,0%
369,Jama'are,45%,9%,0%,45%,0%,0%
370,Jega,25%,75%,0%,0%,0%,0%
371,Jema'a,11%,89%,0%,0%,0%,0%
372,Jere,64%,36%,0%,0%,0%,0%
373,Jos East,40%,40%,10%,10%,0%,0%
374,Jos North,11%,89%,0%,0%,0%,0%
375,Jos South,0%,78%,0%,22%,0%,0%
376,Kabba/Bunu,0%,100%,0%,0%,0%,0%
377,Kabo,14%,71%,0%,14%,0%,0%
378,Kachia,67%,33%,0%,0%,0%,0%
379,Kaduna North,0%,83%,0%,17%,0%,0%
380,Kaduna South,0%,100%,0%,0%,0%,0%
381,Kafin Hausa,38%,38%,0%,25%,0%,0%
382,Kafur,12%,75%,0%,12%,0%,0%
383,Kaga,100%,0%,0%,0%,0%,0%
384,Kagarko,100%,0%,0%,0%,0%,0%
385,Kaita,0%,100%,0%,0%,0%,0%
386,Kajola,33%,56%,0%,11%,0%,0%
387,Kajuru,44%,56%,0%,0%,0%,0%
388,Kalgo,38%,38%,0%,25%,0%,0%
389,Kaltungo,55%,36%,0%,9%,0%,0%
390,Kanam,100%,0%,0%,0%,0%,0%
391,Kanke,89%,11%,0%,0%,0%,0%
392,Kankia,50%,25%,0%,25%,0%,0%
393,Kano Municipal,14%,57%,0%,29%,0%,0%
394,Karasuwa,57%,14%,0%,29%,0%,0%
395,Karaye,29%,43%,0%,29%,0%,0%
396,Karim Lamido,100%,0%,0%,0%,0%,0%
397,Karu,0%,82%,0%,18%,0%,0%
398,Katagum,60%,20%,0%,20%,0%,0%
399,Katcha,0%,100%,0%,0%,0%,0%
400,Katsina,0%,60%,0%,40%,0%,0%
401,Katsina-Ala,9%,36%,18%,36%,0%,0%
402,Kaugama,38%,50%,0%,12%,0%,0%
403,Kaura,20%,80%,0%,0%,0%,0%
404,Kaura-Namoda,50%,50%,0%,0%,0%,0%
405,Kauru,67%,33%,0%,0%,0%,0%
406,Kazaure,11%,56%,33%,0%,0%,0%
407,Kebbe,86%,14%,0%,0%,0%,0%
408,Keffi,0%,88%,0%,12%,0%,0%
409,Khana,50%,0%,17%,33%,0%,0%
410,Kibiya,12%,50%,12%,25%,0%,0%
411,Kirfi,40%,40%,10%,10%,0%,0%
412,Kiri Kasama,40%,40%,0%,20%,0%,0%
413,Kiru,0%,100%,0%,0%,0%,0%
414,Kiyawa,0%,12%,62%,25%,0%,0%
415,Koko,12%,75%,0%,12%,0%,0%
416,Kokona,62%,0%,25%,12%,0%,0%
417,Kolokuma/Opokuma,80%,20%,0%,0%,0%,0%
418,Konduga,23%,77%,0%,0%,0%,0%
419,Konshisha,27%,73%,0%,0%,0%,0%
420,Kontagora,0%,100%,0%,0%,0%,0%
421,Kosofe,26%,13%,28%,33%,0%,0%
422,Koton karfe,0%,50%,50%,0%,0%,0%
423,Kubau,100%,0%,0%,0%,0%,0%
424,Kudan,0%,78%,11%,11%,0%,0%
425,Kuje,4%,71%,4%,21%,0%,0%
426,Kumbotso,0%,71%,0%,29%,0%,0%
427,Kunchi,14%,86%,0%,0%,0%,0%
428,Kura,57%,14%,0%,29%,0%,0%
429,Kurfi,75%,25%,0%,0%,0%,0%
430,Kurmi,100%,0%,0%,0%,0%,0%
431,Kusada,6%,94%,0%,0%,0%,0%
432,Kwali,0%,92%,0%,8%,0%,0%
433,Kwami,36%,55%,9%,0%,0%,0%
434,Kwande,0%,73%,27%,0%,0%,0%
435,Kware,57%,43%,0%,0%,0%,0%
436,Kwaya Kusar,86%,0%,0%,14%,0%,0%
437,Lafia,27%,55%,0%,18%,0%,0%
438,Lagelu,91%,9%,0%,0%,0%,0%
439,Lagos Island,34%,37%,11%,18%,0%,0%
440,Lagos Mainland,22%,31%,0%,47%,0%,0%
441,Lamurde,0%,0%,43%,57%,0%,0%
442,Langtang North,78%,22%,0%,0%,0%,0%
443,Langtang South,100%,0%,0%,0%,0%,0%
444,Lapai,100%,0%,0%,0%,0%,0%
445,Latiagi,80%,20%,0%,0%,0%,0%
446,Lau,75%,12%,12%,0%,0%,0%
447,Lavun,0%,80%,0%,20%,0%,0%
448,Lere,100%,0%,0%,0%,0%,0%
449,Logo,0%,82%,18%,0%,0%,0%
450,Lokoja,0%,100%,0%,0%,0%,0%
451,Machina,0%,100%,0%,0%,0%,0%
452,Madagali,100%,0%,0%,0%,0%,0%
453,Madobi,0%,86%,0%,14%,0%,0%
454,Mafa,46%,46%,0%,8%,0%,0%
455,Magama,90%,10%,0%,0%,0%,0%
456,Magumeri,0%,71%,0%,29%,0%,0%
457,Mai'Adua,12%,25%,50%,12%,0%,0%
458,Maiduguri,8%,67%,17%,8%,0%,0%
459,Maigatari,12%,12%,50%,25%,0%,0%
460,Maiha,100%,0%,0%,0%,0%,0%
461,Maiyama,12%,50%,0%,38%,0%,0%
462,Makarfi,11%,78%,0%,11%,0%,0%
463,Makoda,0%,100%,0%,0%,0%,0%
464,Makurdi,27%,64%,9%,0%,0%,0%
465,Malam Madori,50%,50%,0%,0%,0%,0%
466,Malumfashi,0%,62%,0%,38%,0%,0%
467,Mangu,67%,22%,11%,0%,0%,0%
468,Mani,38%,50%,0%,12%,0%,0%
469,Maradun,50%,50%,0%,0%,0%,0%
470,Mariga,0%,100%,0%,0%,0%,0%
471,Maru,90%,10%,0%,0%,0%,0%
472,Mashegu,100%,0%,0%,0%,0%,0%
473,Mashi,50%,0%,12%,38%,0%,0%
474,Mayo Belwa,29%,71%,0%,0%,0%,0%
475,Mbaitoli,0%,11%,0%,89%,0%,0%
476,Mbo,100%,0%,0%,0%,0%,0%
477,Michika,100%,0%,0%,0%,0%,0%
478,Miga,75%,25%,0%,0%,0%,0%
479,Mikang,100%,0%,0%,0%,0%,0%
480,Minjibir,0%,57%,0%,43%,0%,0%
481,Misau,40%,40%,0%,20%,0%,0%
482,Mkpat-Enin,0%,40%,10%,50%,0%,0%
483,Moba,27%,45%,0%,27%,0%,0%
484,Mokwa,100%,0%,0%,0%,0%,0%
485,Mopa-Muro,0%,25%,0%,75%,0%,0%
486,Moro,90%,10%,0%,0%,0%,0%
487,Mubi North,29%,71%,0%,0%,0%,0%
488,Mubi South,14%,86%,0%,0%,0%,0%
489,Munya,0%,90%,0%,10%,0%,0%
490,Mushin,34%,38%,9%,19%,0%,0%
491,Nafada,64%,9%,0%,27%,0%,0%
492,Nangere,0%,71%,0%,29%,0%,0%
493,Nasarawa,6%,69%,6%,19%,0%,0%
494,Nasarawa Eggon,62%,25%,12%,0%,0%,0%
495,Ndokwa East,10%,90%,0%,0%,0%,0%
496,Ndokwa West,0%,80%,10%,10%,0%,0%
497,Nembe,83%,8%,8%,0%,0%,0%
498,Nganzai,100%,0%,0%,0%,0%,0%
499,Ngor Okpala,50%,45%,0%,5%,0%,0%
500,Nguru,43%,29%,0%,29%,0%,0%
501,Ningi,0%,90%,10%,0%,0%,0%
502,Njaba,90%,10%,0%,0%,0%,0%
503,Njikoka,0%,65%,0%,35%,0%,0%
504,Nkanu East,100%,0%,0%,0%,0%,0%
505,Nkanu West,17%,50%,0%,33%,0%,0%
506,Nkwerre,100%,0%,0%,0%,0%,0%
507,Nnewi North,8%,15%,0%,77%,0%,0%
508,Nnewi South,7%,7%,0%,86%,0%,0%
509,Nsit-Atai,18%,82%,0%,0%,0%,0%
510,Nsit-Ibom,80%,10%,0%,10%,0%,0%
511,Nsit-Ubium,11%,89%,0%,0%,0%,0%
512,Nsukka,8%,69%,0%,23%,0%,0%
513,Numan,43%,57%,0%,0%,0%,0%
514,Nwangele,0%,60%,10%,30%,0%,0%
515,Obafemi Owode,8%,67%,17%,8%,0%,0%
516,Obanliku,91%,9%,0%,0%,0%,0%
517,Obi,45%,30%,20%,5%,0%,0%
518,Obi Ngwa,0%,73%,0%,27%,0%,0%
519,Obio-Akpor,36%,64%,0%,0%,0%,0%
520,Obokun,44%,56%,0%,0%,0%,0%
521,Obot Akara,100%,0%,0%,0%,0%,0%
522,Obowo,40%,60%,0%,0%,0%,0%
523,Obubra,0%,100%,0%,0%,0%,0%
524,Obudu,64%,27%,0%,9%,0%,0%
525,Odeda,83%,8%,0%,8%,0%,0%
526,Odigbo,27%,64%,0%,9%,0%,0%
527,Odo-Otin,78%,22%,0%,0%,0%,0%
528,Odogbolu,92%,8%,0%,0%,0%,0%
529,Odukpani,73%,9%,0%,18%,0%,0%
530,Offa,0%,100%,0%,0%,0%,0%
