state,region,ps,fs,ins,cs,ds,ps_els,ps_els_code,ps_efs,ps_efs_code,ps_css,ps_css_code,fs_bal,fs_bal_code,fs_pof_code,fs_efg_code,fs_efg_pe,fs_efg_dg,fs_efg_bd,ins_gc,ins_mg,ins_ipp,ins_dsc,ins_cmc,cs_tec,cs_fin,cs_prc,ds_som,ds_mrd,ds_oth,ps_comms,fs_comms,ins_comms,cs_comms,ds_comms,state_comms,demand
Kaduna,North West,1,2,3,2,2,Submitted,2,Existing,3,Developing,2,3,1,2,2,0,1,1,171.5,260.1,360,KAEDC,24.89,1.452136355,1.41116556,1.839565432,1,1,1,The Kaduna State Electricity Law has passed its second reading at the State Assembly and is under further review to ensure regulatory robustness. Kaduna is,"Kaduna scores 2, reflecting early-stage energy sector development. It has minimal budget allocation (score: 1), a developing PPP framework (score: 2), and moderate FDI (score:",Kaduna state has four (4) substations with 171.51MW capacity. KAEDC capcity is 251MW with 76.02% received required energy and disco Metering rate of 24.89%. Kaduna,"Kaduna State has demonstrated notable progress in addressing human capacity gaps in its electricity sector. The Kaduna Skipper Training Centre, developed in partnership with SkipperSeil,","Kaduna State’s energy data is currently scattered across multiple agencies, but efforts are underway to centralize it within the Kaduna State Power Supply Company. A","Kaduna State is advancing its energy sector with major renewable projects, including the 360MW Gurara II Hydroelectric Power Station ($1.24 billion, funded by Exim Bank of China) and the 50MW ABIBA Solar Power Station. Additional investments include a 30MW solar park, a 180MW Solar PV Park (set for construction in 2025), and a 100kWp Solar Hybrid Mini-Grid in partnership with the REA. The state collaborates with UKAID, Power Africa, and McKinsey to strengthen technical capacity, while the Kaduna Skipper Training Centre supports workforce development.

Energy data centralization efforts are integrating GIS mapping and smart metering. Kaduna has four substations (171.51MW total), while Kaduna Electric distributes 251MW, receiving 76.02% of its required energy with a metering rate of 24.89%. 
Based on State Stakeholder engagement, Kaduna state currently accounts for 62% of Electricity allocated to KAEDC from national grid, but only recieve approx 220-240MW daily with 70% of the state metered.

The state’s investment climate is improving, attracting moderate FDI, and developing a PPP framework. The Kaduna State Electricity Law is under review, alongside policies for off-grid solar and street lighting to enhance energy access and efficiency",707.6081826
Kano,North West,2,1,2,2,2,Drafted,1,Setup,2,Early stage,1,0,0,2,1,0,0,1,282.63,NA,NA,KEDC,24.29,1.64375681,1.112882324,1.673426949,0,0,0,"Kano State has a developed and aligned electrification plan, but it is not yet operationalized. The electrification law is still in the draft stage, and","Kano’s score of 1 indicates slow energy sector development. The state has no significant budget allocation (score: 0), a developing PPP framework (score: 2), and",Kano has 7 substation with capacity of 282.63MW. KEDC has a capacity of 500.80MW and received 74.42% of its required energy. KEDC metering rate is,"Kano State shows promising potential with its newly established Ministry of Power & Renewable Energy and the long-established Rural Electrification Board, which has been operational","Kano State’s electricity data collection is fragmented across multiple agencies, with most data sourced from distribution companies and sector-specific records on hydropower and solar. Significant","Kano State is expanding its energy infrastructure through grid and off-grid projects. The 614km Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline will boost industrial growth, while the Challawa Gorge Dam remains an untapped hydropower resource. Solar hybrid mini-grids and Solar Home Systems are improving rural electrification. The state has seven substations (282.63MW total), with Kano Electricity Distribution Company (KEDCO) managing them, though metering coverage remains low at 24.29%. Institutionally, Kano has a Ministry of Power & Renewable Energy and a Rural Electrification Board, with workforce training supported by GIZ and the Tony Blair Institute. 

However, expertise gaps persist in renewable energy and grid modernization.Kano has no significant budget allocation for electrification. Its PPP framework is still developing, and foreign direct investment remains minimal The state has a draft electrification law and is developing regulatory frameworks, including plans for a sub-distribution company. While stakeholder collaboration aids policy implementation, financial and technical constraints limit progress. The state’s immediate focus is capacity building and regulatory development, with a long-term goal of increasing electricity generation.",858.7025282
Katsina,North West,1,2,1,1,1,Drafted,1,Collaborate,1,Early stage,1,9,2,2,1,0,0,1,132.85,NA,NA,KEDC,24.29,0.079184863,0.549499227,0.997374577,0,0,0,"Katsina State is taking steps toward electricity sector reform through a partnership with Power Africa Nigeria Power Sector Program (PA-NPSP), a USAID initiative, which has","Katsina has low budget allocation (score: 2), underdeveloped PPP activity (score: 2), and minimal FDI (score: 1).",Katsina has 4 substation with capacity of 132.85MW. KEDC has a capacity of 500.80MW and received 74.42% of its required energy. KEDC metering rate is,"Katsina State has limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Currently, there","Katsina State has a database, but no energy-related data is available online, relying primarily on the REA database for on-grid and off-grid infrastructure. With no","Katsina State is working toward electricity sector reform through a partnership with Power Africa Nigeria Power Sector Program (PA-NPSP), which has provided a policy framework for transforming the state’s electricity market. However, the state has yet to pass an electricity law or establish a legal framework for regulatory transfer and sub-distribution companies. Katsina supports renewable energy through collaborations with the Rural Electrification Agency (REA) and Renewable Energy Service Companies (RESCOs) to scale decentralized solar projects, but there is no documented policy review process. 

The Rural Electricity Board remains the primary structure supporting electrification efforts. Katsina has four substations with a total capacity of 132.85MW. Institutional capacity is limited, with no dedicated agency for electrification planning, monitoring, or implementation, and minimal capacity-building initiatives. Resource allocation for feasibility studies and needs assessments is insufficient, affecting strategic planning and bankable project development. 

The state is improving energy infrastructure through hydro and renewable projects, including plans for a hydroelectric station at Zobe Dam and the development of the Katsina Wind Farm. However, there is limited publicly available data on infrastructure audits, asset replacement, and grid capacity analysis. Katsina also lacks structured state-level energy data collection or modernization efforts, relying primarily on the REA database for on-grid and off-grid infrastructure.",NA
Kebbi,North West,1,1,2,1,1,-,0,-,0,Early stage,1,5,1,1,0,0,0,1,33.89,174.99,NA,KAEDC,24.89,0.896128623,0.293883175,0.545911669,0,0,0,Kebbi State does not have a documented electrification plan or strategy and has yet to draft or pass an electricity law. There is no established,"Kebbi has low budget allocation (score: 1), a weak PPP framework (score: 1), and no FDI (score: 0).",Kebbi state has 2 substaion with a capacity of 33.98MW under KAEDC. KAEDC capcity is 251MW with 76.02% received required energy and disco Metering rate,"Kebbi State has limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Currently, there","Kebbi State has a database, but no energy-related data is available online, relying primarily on the REA database for on-grid and off-grid infrastructure. With no","Kebbi State lacks a documented electrification plan, an electricity law, and a legal framework for regulatory transfer or sub-distribution companies. The State Development Plan outlines intentions to foster energy and renewable energy development, with a focus on implementing the Electricity Act 2023 through renewable energy projects and private investment. A key initiative includes a partnership with Fadel International Holding Group for solar power generation. 

Kebbi has two substations with a total capacity of 33.98MW under KAEDC. The state is expanding its energy infrastructure through projects like the 174MW Kebbi Solar PV Park, set for construction in 2025, and participation in the WAPP North Core Project, which will improve regional electricity access through a 330kV transmission line. Rural electrification efforts include a 98.8kW solar hybrid mini-grid in Kare-Dadin Kowa and solar streetlights across 15 villages in Birnin Kebbi. 

Institutional capacity remains limited, with no dedicated agency for electrification planning, minimal capacity-building initiatives, and insufficient resources for feasibility studies and needs assessments. Kebbi relies primarily on the REA database for on-grid and off-grid infrastructure, with no structured state-level data collection or modernization efforts",425.0924436
Kogi,North Central,1,1,2,1,0,Passed,3,Setup,2,Early stage,1,10,2,1,1,0,0,1,50.33,NA,434,AEDC,70.97,0.010990228,0.07886836,0.714150123,0,0,0,Kogi State has passed its electricity law and NERC has transfered regulatory oversight to the Kogi State Electricity Regulatory Comission. Tho the state has taken,"Kogi has low budget allocation (score: 2), weak PPP engagement (score: 1), and minimal FDI (score: 1).","KOgi has 3 substaions with capacity of 50.33MW, while AEDC ith a capacity of 889.66MW receives 82.42% of its required energy from the grid. AEDC","Kogi State has taken some initial steps in managing its electricity sector, including planning for a dedicated electricity agency, establishing a procurement process, and collaborating",There is no evidence that the state has an active bureau of statistics or any strategy concerning data collection.The REA database provides information on on-grid,"Kogi State has made progress in regulatory independence with the passage of its electricity law and the transfer of regulatory oversight to the Kogi State Electricity Regulatory Commission. However, the state lacks a clear legal and policy framework for managing decentralized electricity generation and distribution, and there is no publicly available information on an electrification plan, strategy, or renewable energy policies. Infrastructure-wise, Kogi has three substations with a total capacity of 50.33MW

The state is home to key energy projects, including the 434MW Geregu II Power Station and the planned 2,400MW Geregu Nuclear Power Plant, which is part of Nigeria’s nuclear energy expansion in partnership with Rosatom. Kogi is also a major transit hub for the Ajaokuta–Kaduna–Kano (AKK) Natural Gas Pipeline, supporting industrial development. Despite these projects, Kogi faces challenges in structured project planning, regulatory enforcement, capacity building, and community engagement. Additionally, there is no evidence of an active state-level data collection strategy, with reliance on the REA database for on-grid and off-grid infrastructure information",326.97771
Kwara,North Central,1,1,2,1,1,Drafted,1,-,0,Early stage,1,2,1,1,0,0,0,1,258.7,NA,NA,IBEDC,43.16,0.32799276,0.508824659,0.938182219,0,0,0,Kwara State is working towards implementing the Electricity Act 2023 by decentralizing its electricity market and integrating renewable energy. The Light Up Kwara Initiative supports,"Kwara has low budget allocation (score: 1), a weak PPP framework (score: 1), and no significant FDI (score: 0).",Number of Substations and Capacity Kwara State has four (4) substations within its state with an aggregated capacity of 258.7MW. While its Discos IBEDC has,"Kwara State has limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Currently, there",Kwara State relies on its partnership with the REA for data-driven energy project implementation but lacks an active bureau of statistics or a centralized energy,"Kwara State is working towards implementing the Electricity Act 2023 by decentralizing its electricity market and integrating renewable energy, though it lacks a documented electricity law or legal framework for regulatory transfer. The state relies on its partnership with the REA for energy project implementation but has no independent data collection system or centralized energy database. Electricity infrastructure includes four substations with a combined capacity of 258.7MW. Its DISCO IBEDC has a total capacity of 1536MW with a metering rate stands at 43.16%, leaving over half of registered customers unmetered. To improve electricity access, the state government has distributed transformers and installed a dedicated 11KV power line for stable supply to key locations. Ongoing projects include deploying solar home systems and mini-grids for underserved areas under the Light Up Kwara Initiative. However, Kwara lacks a dedicated electrification agency, structured capacity-building programs, and sufficient resources for project planning, feasibility studies, and policy implementation",491.1884826
Lagos,South West,4,4,4,3,2,Passed,3,Existing,3,Operational,3,5,1,5,5,1,1,1,1736.4,NA,NA,"EKEDC, IKEDC",62.9,1.735076593,1.149486384,1.959517626,0,1,1,"Lagos State has a developed and aligned electrification plan, where multiple policy documents were consolidated into a unified Lagos Electricity Policy but it is not","Lagos is a top performer, with moderate budget allocation (score: 1), highly developed PPP framework (score: 5), and strong FDI inflows (score: 5).",Operational Substations (Qty): Lagos State benefits from 30 operational stations with a total capacity of 1736.40MW (IKEDC- 17 SS- 1048.6MW) and (EKEDC-13 SS - 687.80MW).,Lagos State has demonstrated a moderate level of capacity readiness in managing its evolving electricity sector. The Ministry of Energy is currently transitioning from a,"Lagos State has a Bureau of Statistics and has conducted extensive data collection and studies, but it lacks a centralized data management system for electrification","Lagos State has a developed and aligned electrification plan, consolidating multiple policies into the Lagos Electricity Policy, though it is not yet operationalized. The electrification law is fully passed, and a legal framework for regulatory transfer is in place. While plans exist to increase electricity access, they face funding constraints. The state has a strong PPP framework that supports energy projects, though renewable energy policies remain limited. Lagos has ongoing capacity-building initiatives to strengthen regulatory and policy implementation, while transitioning the Ministry of Energy into a regulatory function.Lagos has 30 operational substations with a total capacity of 1,736.4MW, but only receives 30% of its estimated energy needs, with a peak supply of 2GW versus a 6GW demand. Many neighborhoods remain underserved due to infrastructure deficits, including inadequate transformer capacity and unplanned network expansion. While metering rates are improving (Ikeja Electric: 76.56%, EKEDC: 62.9%), gaps remain. Infrastructure upgrades are ongoing, including new feeders, transformer replacements, and rehabilitation projects. The state is also pursuing Independent Power Projects (IPPs) to decentralize generation, alongside a $200 million World Bank project aimed at stabilizing electricity distribution.Lagos demonstrates moderate capacity readiness, with efforts to recruit technical personnel, restructure institutions, and implement training programs. A data-driven approach is used for project prioritization, particularly for commercial, industrial, and public institutions. While the Bureau of Statistics collects electricity-related data, there is no centralized data management system for electrification planning. However, the state plans to develop an integrated data repository and enhance decision-making through a smart metering strategy",2378.702803
Nasarawa,North Central,1,2,2,3,0,Drafted,1,-,0,Early stage,1,9,2,2,1,0,0,1,104.17,3.856,NA,AEDC,70.97,1.019277389,1.851915138,1.462538286,0,0,0,Nasarawa State is developing an Off-Grid Electricity Policy and Action Plan to promote cleaner energy sources but currently lacks a detailed electrification policy. The state,"Nasarawa has low budget allocation (score: 2), developing PPP framework (score: 2), and low FDI (score: 1).",Number of Substations and Capacity Nasarawa State's has three (3) substations within its state with an aggregated capacity of 104.17MW. While its Discos AEDC has,"Nasarawa State has taken some initial steps in managing its electricity sector, but significant gaps remain in its institutional framework, capacity building, and project planning.",There was no evidence of a dedicated data collection agency or any mechanisms towards data collection management. A repository dedicated to energy data was also,"Nasarawa State is making progress in its energy sector through the development of an Off-Grid Electricity Policy and Action Plan, but it lacks a comprehensive electrification policy and a legal framework for regulatory transfer. The state's electricity bill remains a draft, and no sub-distribution company has been established. However, a PPP Law is in place to support private sector participation in energy projects. Funding and investment readiness remain weak, with low budget allocation, a developing PPP framework, and minimal foreign direct investment. Infrastructure is also limited, with only three substations (104.17MW total capacity) and inadequate energy supply from the national grid. Metering remains a challenge, with only 70.97% of customers metered. Despite this, mini-grid projects, including Nigeria’s first interconnected hybrid solar mini-grid in Toto (352.24kWp), are expanding access. The state has also allocated N500 million to rural electrification. Capacity gaps persist, with no dedicated agency for electrification planning or structured capacity-building programs. Limited funding for feasibility studies and project development hampers investment readiness. Additionally, Nasarawa lacks a centralized energy data repository, making informed decision-making difficult.",398.6966098
Niger,North Central,2,2,2,1,0,Passed,3,Collaborate,1,Developing,2,2,1,1,0,0,0,1,308.58,1.054,NA,AEDC,70.97,0.806147585,0.441250953,0.075657071,0,0,0,"Niger State has passed its electrification law, and NERC has transferred regulatory oversight to the Niger State Electricity Regulatory Commission, aligning with the Electricity Act","Niger has low budget allocation (score: 1), weak PPP framework (score: 1), and minimal FDI (score: 0).","Niger State, under AEDC, hosts major power infrastructure, including the Shiroro, Kainji, and Jebba hydroelectric plants. However, based on available data, there are 8 substation","Niger State exhibits limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Currently, there",There was no evidence of a dedicated data collection agency or any mechanisms towards data collection management. A repository dedicated to energy data was also,"Niger State has taken key regulatory steps by passing its Electrification Law and securing NERC’s transfer of oversight to its regulatory commission. However, it lacks a clear electrification strategy, a sub-distribution company, and detailed plans for expanding electricity access beyond collaborations with the Rural Electrification Agency (REA). While it has a renewable energy policy and a PPP Manual, funding and investment remain weak, with low budget allocation, a weak PPP framework, and no foreign direct investment. The state hosts major hydroelectric plants but has limited electricity coverage. With eight substations totaling 308.58MW, its primary Disco, AEDC, operates at 1,495.81MW but only receives 82.42% of required energy. Metering coverage is 70.97%. Efforts to improve access include mini-grids in Lambata (990kW) and Rokota (64kW), alongside TCN’s transmission upgrades. Capacity challenges persist, as Niger State lacks a dedicated electrification agency and structured training programs. Minimal funding for feasibility studies and financial modeling further limits project development. Data collection is also weak, with no energy data repository.",696.3461407
Ogun,South West,3,2,2,2,1,Drafted,1,Existing,3,Developing,2,0,0,2,4,1,1,1,478.5,NA,1487,IBEDC,43.16,1.173780437,1.995870344,1.39334582,0,0,0,Ogun State has a draft electrification plan and has fully aligned its electrification law with the Electricity Act 2023. The legal framework for regulatory transfer,"Ogun has zero budget allocation (score: 0), a developing PPP framework (score: 2), and strong FDI inflows (score: 4).","Ogun State, under IBEDC has nine (9) substation with aggregated capacity of 478.5 MW. IBEDC's total capacity is 1536MW where its receives 73.56% of its","Ogun State benefits from a strong technical workforce, with skilled engineers already contributing to the electricity sector. However, significant gaps remain in project development, business","Ogun State lacks a centralized electricity data system, and while BEES handles data collection, there is no structured data strategy. With no organized repository or","Ogun State has aligned its electrification law with the Electricity Act 2023 and developed a draft electrification plan, but regulatory transfer and sub-distribution company efforts remain non-operational. While the state has strong renewable energy policies, funding constraints hinder electricity expansion. Ogun has an established PPP policy but lacks financial, technical, and human resources for implementation. In the short term, it aims to set up key regulatory bodies and improve power supply efficiency, with a long-term goal of a sustainable electricity sector. Despite strong foreign direct investment, Ogun has no budget allocation and a developing PPP framework. The state has nine substations (478.5MW), but IBEDC, its primary Disco, receives only 73.56% of its required energy, with metering at just 43.16%. 

Based on the state stakeholder engagement, Ogun State relies on IBEDC receiving approx 70MW, while residential demand alone is estimated to be around 400 MW. As a state with multiple industrial cluster the total demand ranges between 500 and 1,000 MW, yet only 100 to 200 MW is currently supplied from the grid.

Efforts to expand access include the Lagos/Ogun Transmission Infrastructure Project (1,487MW capacity boost) and IPPs in Abeokuta, Ota, and Agbara. A 5MW solar project for Ogun State Polytechnic, Ipokia, has been underway since 2023. Ogun has a skilled technical workforce but lacks expertise in project and business development, as well as financial modeling. Additionally, its electricity data system is weak, with no structured data strategy or centralized repository, making planning and decision-making challenging.",532.8027783
Ondo,South West,3,1,2,1,2,Submitted,2,Setup,2,Early stage,1,0,0,2,4,1,1,1,112.4,NA,4,BEDC,49.14,0.376942755,0.353390979,0.488959711,1,0,1,"The state has an existing Power Sector Law (2020), which has been reviewed to align with the Electricity Act 2023. The review has been completed","Ondo has low budget allocation (score: 0), developing PPP framework (score: 2), and moderate FDI inflows (score: 4).","Ondo State's power supply is managed by BEDC, with three (3) substations resident in the state with aggregated state capacity of 112.4Mw. Though of BEDC","Ondo State has made progress by having the Ministry of Energy and Mineral Resources oversee electricity initiatives, but it faces notable capacity constraints in policy","Ondo State collects energy data through consumer complaints, community requests, and periodic audits, but the lack of a real-time data management system limits effective planning.","Ondo State has reviewed its 2020 Power Sector Law to align with the Electricity Act 2023, with the process awaiting legislative and executive ratification. The State Electricity Regulatory Bureau has been established and will transition into a commission once ratified, while the state regulator has fully assumed oversight from NERC. Despite moderate foreign direct investment inflows, Ondo has no budget allocation and a developing PPP framework, limiting its investment readiness. The state’s power supply, managed by BEDC, operates three substations with a total capacity of 112.4MW, though BEDC receives only 83.12% of required energy. Metering coverage remains low at 49.14%. 

However, based on state stakeholder engagement, Ondo state has an estimated electricity demand of 900 MW, while the current supply is only 35 MW, creating a substantial demand-supply gap with metering gap estimated to be more than 60%.

Ongoing electrification projects, such as SAO Energy’s 4MWh mesh-grid in Omolege, support underserved areas. Capacity gaps persist, as electricity initiatives fall under the Ministry of Energy and Mineral Resources without a dedicated electrification agency. Key deficiencies exist in policy implementation, tariff structuring, and financial modeling. While training needs have been identified, structured capacity-building programs are lacking. Data collection occurs through complaints, community requests, and periodic audits but lacks a real-time management system. The last major data collection exercise was in 2017, placing Ondo at a Developing level in data readiness.",256.7675677
Osun,South West,1,2,1,1,0,Drafted,1,-,0,Early stage,1,2,1,1,4,1,1,1,255.4,NA,NA,IBEDC,43.16,0.525451279,0.411163408,0.651440552,0,0,0,"Osun State has a draft electrification policy, but no detailed document is publicly available. The state has also drafted an electricity bill, but it has","Osun has low budget allocation (score: 1), a developing PPP framework (score: 1), and strong FDI inflows (score: 4).","Osun State's power supply is managed by IBEDC, with four (4) substations resident in the state with aggregated state capacity of 255.4MW. Though of IBEDC","Osun State has limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Currently, there",No specific information on energy data collection systems was found,"Osun State is in the early stages of electricity sector reform, with a draft electrification policy and an electricity bill yet to be passed into law. There is no legal framework for regulatory transfer or an established sub-distribution company. While the state is developing a Climate Action Plan that includes renewable energy and has engaged in PPP projects, no documented PPP policy or manual is publicly available. Despite strong foreign direct investment inflows, Osun has a low budget allocation and a developing PPP framework, limiting its ability to implement energy projects. The state has four substations with a total capacity of 255.4MW, while IBEDC, its primary Disco, receives only 73.56% of its required energy. Metering coverage is also low at 43.16%. Electrification efforts date back to 2015/2016 through collaborations with BOI, UNDP, and REA to provide solar micro-grids and off-grid solutions in rural areas. Capacity challenges remain, as electricity initiatives are handled by general agencies without a dedicated electrification body. The state lacks structured capacity-building programs, and insufficient resources are allocated for feasibility studies and strategic project planning. Additionally, no specific information on energy data collection systems is available, further limiting informed decision-making and investment planning.",518.68359
Oyo,South West,3,1,3,3,3,Passed,3,Established,5,Operational,3,0,0,2,1,0,0,1,485.2,500,11,IBEDC,43.16,1.686059816,1.501425411,1.364211735,0,1,1,"Oyo State has a developed and aligned electrification plan, but it is not yet operationalized. The electrification law is fully passed and aligned with the","Oyo has low budget allocation (score: 0), a weak PPP framework (score: 2), and low FDI (score: 1).","Oyo State's power supply is managed by IBEDC, with four (4) substations resident in the state with aggregated state capacity of 485.2MW. Though of IBEDC","Oyo State is actively strengthening its capacity for planning, implementing, and regulating electricity projects. The Ministry of Energy and Mineral Resources (MEMR) currently oversees project","Oyo State is working with local government agencies to enhance energy data collection, with existing data housed in the Ministry of Budget and Economic Planning.","Oyo State has an electrification plan aligned with the Electricity Act 2023, but it is not yet fully operational. Regulatory transfer is established, though the creation of a sub-distribution company is still in progress. Renewable energy policies are limited, and while plans exist to expand electricity access, funding remains a challenge. The state has an active PPP policy and ongoing capacity-building initiatives, with a long-term goal of universal electricity access. Oyo has no budget allocation (score: 0), a weak PPP framework (score: 2), and low FDI (score: 1), limiting investment readiness. Power supply, managed by IBEDC, includes four substations (485.2MW total capacity), but IBEDC receives only 73.56% of its required energy, with low metering coverage (43.16%). 

Based on state stakeholder engagement: A recent audit of the state's electricity infrastructure revealed that Oyo receives between 70 and 80 MW from the national grid, while actual demand exceeds 400 MW, highlighting a signiβicant supply deβicit. The distribution network is reported to have the capacity to deliver 173 MW, meaning only 49% of the state's estimated demand can realistically be supplied through the grid. While the state currently has a 65% metering gap.

Infrastructure expansion includes an 11MW hybrid IPP, a planned 500MW solar project, and the Shell Gas Pipeline Project to improve power supply. The Ministry of Energy and Mineral Resources oversees electricity planning, with plans to establish a dedicated electrification agency. Capacity-building programs focus on renewable energy and grid expansion, but funding and technical expertise remain challenges. Data collection occurs every 4–5 years with limited real-time monitoring, though ongoing digitization efforts place Oyo at a Progressing (3) level in data readiness.",681.49527
Plateau,North Central,2,1,2,2,2,Passed,3,Setup,2,Developing,2,0,1,1,1,0,0,1,150,0.5,NA,JEDC,33.71,1.03685231,1.835900035,1.457635391,1,0,1,"The Plateau State has signed their electricity law but the energy transition efforts are still in the early stages. The regulatory commission has been constituted,","Plateau has low budget allocation (score: 1), a weak PPP framework (score: 1), and minimal FDI (score: 1).","Plateau State is served by two (2) substations of 150MW under the Jos Electricity Distribution Company (JEDC), with capacity 445MW. JEDC receives 72.24% a significant",Plateau State’s Energy Corporation recognizes significant capacity gaps in navigating the new regulatory framework and implementing energy transition strategies. The state has yet to establish,"Plateau State lacks a centralized, up-to-date electricity access database, with past manual data collection efforts acknowledged as limited. While the Ministry of Energy holds outdated","Plateau State has signed its electricity law, but energy transition efforts remain in the early stages. While a regulatory commission has been constituted, it is not yet fully operational. Existing rural electrification and green energy policies, developed with GIZ, need updates to align with the Electricity Act 2023. Previous collaborations provided some policy frameworks, but revisions are required for effective implementation. The state has low budget allocation, a weak PPP framework, and minimal FDI, limiting investment capacity. Plateau’s power supply, managed by JEDC, includes two substations (150MW total capacity), with JEDC receiving 72.24% of required energy. The metering rate is low at 33.71%. Ongoing electrification efforts include the Mission 300 Initiative and Interconnected Mini-grid Accelerated Scheme (IMAS), which has deployed a 550KWp clean energy project benefiting 3,500 households. REA is also implementing solar mini-grid projects for healthcare facilities. Capacity gaps persist as the state lacks a dedicated electrification agency, leading to fragmented oversight. Structured training programs are minimal, and funding for feasibility studies and pre-development activities is insufficient. Plateau also lacks a centralized energy data system, relying on outdated GIZ datasets. While energy audits and digitization efforts are underway, the state remains at a Developing (2) level in data readiness.",139.1729208
Rivers,South South,1,2,2,1,0,Passed,3,-,0,Early stage,1,5,1,3,1,0,0,1,267.25,NA,450,PHEDC,43.46,0.771118603,0.297834832,0.565306359,0,0,0,"Rivers State has passed its electricity law, aligning with the Electricity Act 2023, but there is no legal framework for regulatory transfer or a documented","Rivers has low budget allocation (score: 1), a developing PPP framework (score: 3), and minimal FDI (score: 1).",RIvers State is served by five (5) substations and two (2) IPP (AFAM I-III and AFAM IPP) under the PHEDC with capacity 1127.1MW. PHEDC receives,"Rivers State has significant gaps in its capacity readiness for managing its electricity sector. Currently, there is no dedicated agency solely responsible for electrification planning,",No specific information on energy data collection systems was found,"Rivers State has passed its electricity law in alignment with the Electricity Act 2023 but lacks a legal framework for regulatory transfer, a documented electrification plan, or renewable energy policies. With a low budget allocation (score: 1), a developing PPP framework (score: 3), and minimal FDI (score: 1), investment readiness remains weak. Rivers is served by five substations and two IPPs (AFAM I-III and AFAM IPP), with a total capacity of 1,127.1MW. PHEDC receives 77.39% of its required energy, but metering remains low at 43.46%. The 450MW Afam IV Power Plant plays a key role in the state's supply, alongside projects like the Chokocho Community Electrification Project and World Bank-supported solar mini-grids under the Nigeria Electrification Project (NEP). Capacity gaps persist, as no dedicated electrification agency exists, and structured training programs are minimal. Limited resources for feasibility studies and planning hinder project execution. Rivers also lacks a centralized energy data system, with no available information on energy data collection processes.",277.5911344
Sokoto,North West,0,2,2,2,0,-,0,-,0,-,0,1,1,1,1,0,0,1,25.02,2,35,KAEDC,24.38,1.512837894,1.947681678,1.121500358,0,0,0,"Sokoto State does not have a documented electrification plan or strategy, and there is no news of an electricity law or a draft bill in","Sokoto has low budget allocation (score: 1), a weak PPP framework (score: 1), and minimal FDI (score: 1), reflecting limited progress in energy sector development.",Sokoto State is served by five (1) substation under the KAEDC with capacity 25.02MW. KAEDC receives 76.02% a significant portion of its required energy from,"Sokoto State has limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Currently, there",No specific information on energy data collection systems was found,"Sokoto State lacks a documented electrification plan, electricity law, or legal framework for regulatory transfer. There is no sub-distribution company, and while renewable energy projects exist, no formal policy supports them. The state has a PPP manual but remains in the early stages of energy sector development. With a low budget allocation, a weak PPP framework, and minimal FDI, Sokoto’s investment readiness is limited. The state has one substation (25.02MW capacity) under KAEDC, which receives 76.02% of required energy. Metering coverage is critically low at 24.28%. Key projects include a 35MW Independent Power Project nearing completion, N291.7 million allocated for rural electrification in Tambuwal and Wurno LGAs, and a 2MW solar hybrid plant at UDUS under the Energizing Education Programme. The Northern Corridor Transmission Project is also set to improve infrastructure. Capacity gaps persist, as there is no dedicated electrification agency, and structured training programs are lacking. Sokoto also lacks an energy data collection system, further limiting informed decision-making and investment planning.",209.4306634
Taraba,North East,1,2,2,2,0,Submitted,2,-,0,Early stage,1,0,1,1,1,0,0,1,27.64,NA,40,YEDC,14.43,1.597202551,1.439389408,1.471411121,0,0,0,"Taraba State has a 2024 master plan that includes energy distribution and hydropower investment, but its scope on broader electrification remains limited. The state’s electricity","Taraba has low budget allocation (score: 1), underdeveloped PPP engagement (score: 1), and minimal FDI (score: 1), showing slow progress in energy investment.",Taraba state based on TCN PIP report has 1 substaion which capacity is 27.64MW. Taraba falls under the Yola EDC (YEDC) with a capcity of,"Taraba State currently exhibits limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Presently,",No specific information on energy data collection systems was found,"Taraba State’s 2024 master plan includes energy distribution and hydropower investment but lacks a comprehensive electrification strategy. Its electricity bill passed the first reading in August 2023, with no further updates. There is no legal framework for regulatory transfer or a sub-distribution company, though the state’s Climate Change Policy incorporates renewable energy. No formal PPP policy exists for energy projects. With low budget allocation, underdeveloped PPP engagement, and minimal FDI, Taraba’s investment readiness remains weak. The state has one substation (27.64MW capacity) under YEDC, which receives 78.84% of required energy but has extremely low metering coverage (14.43%). Major infrastructure includes the Mambilla Hydropower Project (3,050MW, under development) and the Kashimbila Hydropower Station (40MW, commissioned in 2019), supplying 80% of local households. Rural electrification efforts are ongoing to expand access. Capacity gaps persist, as no dedicated electrification agency exists, and structured training programs are lacking. Additionally, no centralized energy data system is available, limiting informed decision-making and strategic planning.",59.95154674
